Date,Close/Last,Volume,Open,High,Low
08/19/2022,13242.9,--,13370.25,13402.61,13210.82
08/18/2022,13505.99,--,13474.24,13553.28,13405.74
08/17/2022,13470.86,--,13499.24,13591.58,13389.82
08/16/2022,13635.21,--,13617.66,13720.91,13508.47
08/15/2022,13667.18,--,13529.66,13685.65,13524.53
08/12/2022,13565.87,--,13384.65,13565.87,13341.65
08/11/2022,13291.99,--,13471.03,13555.38,13271.35
08/10/2022,13378.32,--,13330.66,13386.85,13220.05
08/09/2022,13008.17,--,13064.24,13095.7,12945.6
08/08/2022,13159.16,--,13227.09,13394.54,13103.8
08/05/2022,13207.69,--,13107.45,13286.02,13070.36
08/04/2022,13311.04,--,13253.77,13326.72,13170.44
08/03/2022,13253.26,--,12983.58,13289.19,12974.85
08/02/2022,12901.6,--,12853.04,13073.27,12809.01
08/01/2022,12940.78,--,12877.04,13084.61,12833.16
07/29/2022,12947.97,--,12784.2,12986.64,12726.25
07/28/2022,12717.87,--,12580.61,12741.83,12433.55
07/27/2022,12601.47,--,12299.34,12660.77,12256.94
07/26/2022,12086.9,--,12248.21,12259.01,12051.21
07/25/2022,12328.41,--,12391.21,12415.59,12244.4
07/22/2022,12396.47,--,12575.76,12662.86,12322.82
07/21/2022,12619.41,--,12466.13,12620.5,12351.42
07/20/2022,12439.68,--,12269.07,12488.39,12232.2
07/19/2022,12249.42,--,12046.69,12258.37,11967.92
07/18/2022,11877.5,--,12089.68,12156.09,11836.52
07/15/2022,11983.62,--,11896.15,11987.52,11828.13
07/14/2022,11768.4,--,11637.18,11801.11,11488.27
07/13/2022,11728.53,--,11523.91,11819.69,11498.96
07/12/2022,11744.99,--,11926.84,11990.44,11684.02
07/11/2022,11860.28,--,12008.76,12026.06,11830.88
07/08/2022,12125.69,--,11977.95,12179.32,11956.03
07/07/2022,12109.05,--,11913.73,12137.71,11897.51
07/06/2022,11852.59,--,11807.08,11941.31,11727.36
07/05/2022,11779.9,--,11419.34,11781.74,11366.07
07/01/2022,11585.68,--,11472.63,11592.85,11378.63
06/30/2022,11503.72,--,11532.32,11650.96,11322.86
06/29/2022,11658.26,--,11619.01,11710.21,11537.72
06/28/2022,11637.77,--,12021.34,12133.87,11633.13
06/27/2022,12008.24,--,12157.93,12175.98,11965.67
06/24/2022,12105.85,--,11826.95,12112.82,11812.18
06/23/2022,11697.68,--,11622.09,11729.62,11515.48
06/22/2022,11527.71,--,11427.74,11708.08,11423.2
06/21/2022,11546.76,--,11446.98,11638.47,11446.98
06/17/2022,11265.99,--,11172.65,11357.97,11089.93
06/16/2022,11127.57,--,11286.87,11311.05,11037.21
06/15/2022,11593.77,--,11468.13,11751.29,11346.54
06/14/2022,11311.69,--,11385.18,11418.22,11205.92
06/13/2022,11288.32,--,11472.19,11568.65,11254.18
06/10/2022,11832.82,--,12052.59,12082.69,11825.35
06/09/2022,12269.78,--,12543.37,12666.41,12265.86
06/08/2022,12615.13,--,12682.81,12776.65,12578.55
06/07/2022,12711.68,--,12456.49,12737.3,12413.56
06/06/2022,12599.63,--,12745.89,12804.46,12534.58
06/03/2022,12548.03,--,12650.38,12724.81,12505.76
06/02/2022,12892.89,--,12498.63,12897.63,12447.77
06/01/2022,12548.36,--,12750.31,12820.47,12457.91
05/31/2022,12642.1,--,12688.95,12762.84,12482.32
05/27/2022,12681.42,--,12421.8,12682.58,12405.29
05/26/2022,12276.79,--,11906.83,12337.73,11901.87
05/25/2022,11943.93,--,11732.45,12028.89,11714.27
05/24/2022,11769.84,--,11807.78,11842.81,11576.11
05/23/2022,12034.28,--,11867.36,12047.81,11785.76
05/20/2022,11835.62,--,12037.03,12044.7,11492.29
05/19/2022,11875.63,--,11872.56,12066.85,11795.79
05/18/2022,11928.31,--,12352.92,12389.96,11887
05/17/2022,12564.1,--,12496.63,12572.99,12333.99
05/16/2022,12243.58,--,12297.07,12395.51,12196.21
05/13/2022,12387.4,--,12125.93,12429.28,12069.13
05/12/2022,11945.5,--,11790.13,12128.73,11692.12
05/11/2022,11967.56,--,12240.21,12470.89,11939.09
05/10/2022,12345.86,--,12496.84,12537.89,12173.47
05/09/2022,12187.72,--,12465.91,12542.32,12136.19
05/06/2022,12693.53,--,12776.86,12926.58,12522.77
05/05/2022,12850.55,--,13344.79,13344.79,12710.59
05/04/2022,13535.71,--,13110.3,13556.67,12887.53
05/03/2022,13089.9,--,13045.35,13178.74,12982.7
05/02/2022,13075.85,--,12864.83,13083.57,12716.63
04/29/2022,12854.8,--,13274.94,13428.53,12835.48
04/28/2022,13456.06,--,13254.96,13542.56,13038.17
04/27/2022,13003.36,--,13009.4,13241.94,12936.41
04/26/2022,13009.71,--,13447.66,13447.66,13009.65
04/25/2022,13533.22,--,13275.41,13541.77,13239.73
04/22/2022,13356.87,--,13714.63,13769.4,13342.79
04/21/2022,13720.45,--,14174.92,14277.21,13682.68
04/20/2022,13998.53,--,14246.2,14263.61,13962.86
