Date,Close/Last,Volume,Open,High,Low
08/19/2022,19.725,6107,19.8,19.8,19.68
08/18/2022,19.95,1739,19.944,19.958,19.915
08/17/2022,19.935,3570,20.005,20.005,19.935
08/16/2022,19.915,10721,19.95,19.96,19.915
08/15/2022,19.95,36715,19.95,19.96,19.92
08/12/2022,19.92,1375,19.949,19.96,19.88
08/11/2022,19.94,3668,19.95,19.95,19.86
08/10/2022,19.86,3034,19.91,19.94,19.86
08/09/2022,19.91,664,19.88,19.92,19.85
08/08/2022,19.85,1490,19.92,19.92,19.84
08/05/2022,19.92,868,19.9,19.92,19.9
08/04/2022,19.91,2033,19.84,19.91,19.84
08/03/2022,19.84,750,19.858,19.899,19.83
08/02/2022,19.86,155,19.86,19.86,19.86
08/01/2022,19.89,958,19.88,19.89,19.81
07/29/2022,19.84,763,19.85,19.85,19.8
07/28/2022,19.82,3543,19.69,19.82,19.69
07/27/2022,19.7,2092,19.69,19.7,19.6401
07/26/2022,19.63,1558,19.6001,19.63,19.6001
07/25/2022,19.72,1767,19.68,19.72,19.62
07/22/2022,19.685,2015,19.77,19.77,19.685
07/21/2022,19.77,531,19.769,19.77,19.769
07/20/2022,19.71,561,19.675,19.71,19.675
07/19/2022,19.59,3305,19.59,19.66,19.58
07/18/2022,19.55,4926,19.64,19.64,19.47
07/15/2022,19.77,932,19.75,19.8164,19.75
07/14/2022,19.69,3554,19.68,19.69,19.61
07/13/2022,19.68,2368,19.65,19.69,19.65
07/12/2022,19.65,1314,19.65,19.67,19.65
07/11/2022,19.655,260,19.7,19.7,19.655
07/08/2022,19.69,5792,19.639,19.69,19.63
07/07/2022,19.61,15532,19.58,19.735,19.58
07/06/2022,19.64,574,19.5301,19.64,19.5301
07/05/2022,19.6,1203,19.5,19.6,19.5
07/01/2022,19.54,9576,19.45,19.54,19.45
06/30/2022,19.49,863,19.44,19.49,19.44
06/29/2022,19.485,1161,19.51,19.51,19.4401
06/28/2022,19.495,286,19.48,19.495,19.47
06/27/2022,19.61,1408,19.54,19.61,19.52
06/24/2022,19.55,4162,19.5,19.55,19.5
06/23/2022,19.44,3024,19.41,19.5,19.4
06/22/2022,19.46,15916,19.44,19.46,19.43
06/21/2022,19.39,4394,19.43,19.43,19.36
06/17/2022,19.59,2026,19.53,19.59,19.35
06/16/2022,19.34,901,19.5,19.5,19.34
06/15/2022,19.9,3886,19.73,19.9,19.71
06/14/2022,19.63,7673,19.51,19.7,19.51
06/13/2022,19.67,6208,19.81,19.81,19.62
06/10/2022,20,14407,20.04,20.14,20
06/09/2022,20.2302,3453,20.27,20.29,20.19
06/08/2022,20.29,11783,20.29,20.3,20.27
06/07/2022,20.29,10072,20.2575,20.29,20.2575
06/06/2022,20.26,3830,20.27,20.2999,20.25
06/03/2022,20.255,11974,20.251,20.2735,20.21
06/02/2022,20.29,4460,20.204,20.29,20.19
06/01/2022,20.265,1122,20.251,20.265,20.241
05/31/2022,20.235,1249,20.25,20.25,20.235
05/27/2022,20.215,1001,20.191,20.22,20.191
05/26/2022,20.1366,6349,20.05,20.19,20.05
05/25/2022,20.025,3405,19.97,20.025,19.96
05/24/2022,19.945,17738,19.96,19.96,19.88
05/23/2022,20.04,9779,20,20.055,20
05/20/2022,20.0781,1368,20.15,20.15,20.025
05/19/2022,20.595,168,20.595,20.595,20.595
05/18/2022,20.595,1739,20.55,20.595,20.55
05/17/2022,20.56,2017,20.571,20.63,20.56
05/16/2022,20.595,6725,20.6,20.6176,20.56
05/13/2022,20.62,5017,20.57,20.62,20.57
05/12/2022,20.565,11482,20.57,20.5859,20.56
05/11/2022,20.595,3597,20.64,20.64,20.58
05/10/2022,20.61,3068,20.649,20.649,20.58
05/09/2022,20.62,1471,20.66,20.66,20.6
05/06/2022,20.71,7216,20.674,20.71,20.63
05/05/2022,20.746,11486,20.9017,20.9017,20.7
05/04/2022,20.99,2928,20.84,21.05,20.78
05/03/2022,20.84,2793,20.82,20.879,20.81
05/02/2022,20.83,2781,20.66,20.83,20.66
04/29/2022,20.78,3215,20.9,20.96,20.78
04/28/2022,21.03,4139,20.91,21.08,20.85
04/27/2022,20.8679,15904,20.9279,20.97,20.8201
04/26/2022,20.8934,44361,21.08,21.09,20.89
04/25/2022,21.1056,3772,21.04,21.1056,21
04/22/2022,21.035,3179,21.1417,21.1417,21.03
04/21/2022,21.19,5385,21.346,21.36,21.1601
04/20/2022,21.27,4125,21.35,21.35,21.25
04/19/2022,21.35,8503,21.3,21.35,21.3
04/18/2022,21.2552,4188,21.22,21.29,21.2
04/14/2022,21.35,5464,21.75,21.75,21.35
04/13/2022,21.6778,4617,21.4771,21.709,21.4771
04/12/2022,21.3756,8358,21.59,21.63,21.3606
04/11/2022,21.3848,3939,21.519,21.5199,21.3848
04/08/2022,21.61,3451,21.65,21.65,21.5301
04/07/2022,21.601,2371,21.56,21.645,21.56
04/06/2022,21.61,792,21.6299,21.6299,21.58
04/05/2022,21.675,11946,21.74,21.74,21.64
04/04/2022,21.7101,5208,21.64,21.74,21.64
04/01/2022,21.665,1190,21.63,21.699,21.63
03/31/2022,21.65,2867,21.709,21.71,21.65
03/30/2022,21.67,9275,21.72,21.72,21.67
03/29/2022,21.71,1680,21.63,21.71,21.63
03/28/2022,21.6799,2513,21.56,21.6799,21.56
03/25/2022,21.59,3879,21.63,21.63,21.56
03/24/2022,21.58,4313,21.549,21.58,21.5006
03/23/2022,21.505,6229,21.55,21.5899,21.505
03/22/2022,21.555,1415,21.5,21.555,21.5
03/21/2022,21.495,2585,21.52,21.52,21.41
03/18/2022,21.78,22912,21.64,21.78,21.3604
03/17/2022,21.3338,9071,21.2427,21.3338,21.05
03/16/2022,21.1504,2071,20.961,21.1504,20.95
03/15/2022,20.705,5538,20.61,20.73,20.61
03/14/2022,20.625,6609,20.86,20.86,20.625
03/11/2022,20.7595,3279,20.95,20.95,20.7595
03/10/2022,20.895,18529,20.92,21,20.82
03/09/2022,21.045,2389,21.02,21.045,20.9
03/08/2022,20.8214,13323,20.86,20.91,20.74
03/07/2022,20.9,8483,21.12,21.12,20.9
03/04/2022,21.12,4631,21.12,21.16,21.07
03/03/2022,21.185,2581,21.32,21.32,21.151
03/02/2022,21.23,12644,21.2,21.2367,21.14
03/01/2022,21.17,4390,21.22,21.22,21.1201
02/28/2022,21.21,17104,21.23,21.28,21.14
02/25/2022,21.2363,5092,21.21,21.26,21.12
02/24/2022,21.12,18908,20.74,21.1266,20.74
02/23/2022,21.03,4880,21.15,21.179,21.0001
02/22/2022,21.08,10292,21.15,21.1991,21.07
02/18/2022,21.21,48351,21.53,21.53,21.08
02/17/2022,21.5601,3718,21.96,21.96,21.5601
02/16/2022,22.03,9210,22,22.055,21.84
02/15/2022,22.0589,3154,21.996,22.0589,21.98
02/14/2022,21.691,5169,21.73,21.879,21.691
02/11/2022,21.78,7981,22.11,22.11,21.78
02/10/2022,22.1,1954,22.275,22.275,22.1
02/09/2022,22.2799,3900,22.2097,22.29,22.171
02/08/2022,22.129,8555,21.95,22.16,21.95
02/07/2022,22.0048,5849,22.1499,22.15,22.0048
02/04/2022,22.04,6023,22.03,22.186,21.95
02/03/2022,22.0134,6559,22.15,22.159,21.94
02/02/2022,22.24,8399,22.24,22.27,22.161
02/01/2022,22.15,13505,22.11,22.18,22.06
01/31/2022,22.13,37199,22.03,22.13,22.005
01/28/2022,21.92,10208,21.75,21.92,21.701
01/27/2022,21.78,11208,21.94,21.94,21.74
01/26/2022,21.8434,14903,21.93,22.07,21.81
01/25/2022,21.85,15759,21.94,21.99,21.81
01/24/2022,21.95,29443,21.99,21.99,21.7101
