Date,Close/Last,Volume,Open,High,Low
08/19/2022,23.285,222,23.285,23.285,23.285
08/18/2022,23.29,196,23.29,23.29,23.29
08/17/2022,23.32,414,23.45,23.45,23.32
08/16/2022,23.29,322,23.375,23.375,23.29
08/15/2022,23.39,245,23.23,23.39,23.23
08/12/2022,23.26,397,23.43,23.43,23.26
08/11/2022,23.19,223,23.19,23.19,23.19
08/10/2022,23.2,279,23.2,23.2,23.2
08/09/2022,23.145,279,23.145,23.145,23.145
08/08/2022,23.1,468,23.115,23.115,23.1
08/05/2022,23.17,548,23.0984,23.17,23.0984
08/04/2022,23.11,268,23.27,23.27,23.11
08/03/2022,23.09,362,23.26,23.26,23.09
08/02/2022,23,378,23.14,23.14,23
08/01/2022,22.98,374,23.19,23.19,22.98
07/29/2022,23.08,408,22.99,23.08,22.99
07/28/2022,22.86,425,23,23,22.86
07/27/2022,22.78,474,22.81,22.81,22.73
07/26/2022,22.5416,64,22.5416,22.5416,22.5416
07/25/2022,22.685,32,22.685,22.685,22.685
07/22/2022,22.72,965,22.66,22.72,22.6301
07/21/2022,22.58,N/A,22.58,22.58,22.58
07/20/2022,22.58,N/A,22.58,22.58,22.58
07/19/2022,22.58,4117,22.62,22.62,22.5
07/18/2022,22.47,2,22.47,22.47,22.47
07/15/2022,22.4427,1300,22.36,22.4427,22.36
07/14/2022,22.2583,N/A,22.2583,22.2583,22.2583
07/13/2022,22.2583,3,22.2583,22.2583,22.2583
07/12/2022,22.26,2,22.26,22.26,22.26
07/11/2022,22.345,3,22.345,22.345,22.345
07/08/2022,22.43,4002,22.3,22.43,22.3
07/07/2022,22.32,N/A,22.32,22.32,22.32
07/06/2022,22.32,5,22.32,22.32,22.32
07/05/2022,22.22,5,22.22,22.22,22.22
07/01/2022,22.06,512,21.92,22.06,21.92
06/30/2022,22.1829,N/A,22.1829,22.1829,22.1829
06/29/2022,22.1829,N/A,22.1829,22.1829,22.1829
06/28/2022,22.1829,1,22.1829,22.1829,22.1829
06/27/2022,22.4338,485,22.4614,22.4614,22.4338
06/24/2022,22.4375,3263,22.47,22.54,22.4375
06/23/2022,22.2006,198,22.18,22.2006,22.18
06/22/2022,22.0764,2122,22.2,22.2,22.0764
06/21/2022,22.03,1023,22.0974,22.0974,22.03
06/17/2022,22.0094,5002,21.9,22.04,21.81
06/16/2022,21.81,73,21.81,21.81,21.81
06/15/2022,21.82,10,21.82,21.82,21.82
06/14/2022,21.77,488,21.77,21.77,21.76
06/13/2022,21.8,24,21.8,21.8,21.8
06/10/2022,21.84,6,21.84,21.84,21.84
06/09/2022,21.9,593,21.87,21.9,21.87
06/08/2022,21.93,73,21.93,21.93,21.93
06/07/2022,21.97,4,21.97,21.97,21.97
06/06/2022,21.93,2026,21.92,21.93,21.91
06/03/2022,21.97,2,21.97,21.97,21.97
06/02/2022,22.055,1,22.055,22.055,22.055
06/01/2022,21.96,11,21.96,21.96,21.96
05/31/2022,22.005,8,22.005,22.005,22.005
05/27/2022,21.99,208,22.0004,22.0004,21.99
05/26/2022,21.925,1,21.925,21.925,21.925
05/25/2022,21.875,226,21.8858,21.8858,21.875
05/24/2022,21.86,339,21.89,21.89,21.86
05/23/2022,21.88,157,21.81,21.88,21.81
05/20/2022,21.865,6,21.865,21.865,21.865
05/19/2022,21.875,201,21.85,21.875,21.85
05/18/2022,22.035,N/A,22.035,22.035,22.035
05/17/2022,22.035,44,22.035,22.035,22.035
05/16/2022,22,1,22,22,22
05/13/2022,22.06,1368,21.98,22.06,21.98
05/12/2022,21.96,N/A,21.96,21.96,21.96
05/11/2022,21.96,175,22,22,21.96
05/10/2022,22.07,21,22.07,22.07,22.07
05/09/2022,22.0438,428,22.061,22.061,22.0438
05/06/2022,22.2366,7,22.2366,22.2366,22.2366
05/05/2022,22.38,19,22.38,22.38,22.38
05/04/2022,22.8786,4088,22.5297,22.8786,22.5
05/03/2022,22.5662,205,22.62,22.62,22.5662
05/02/2022,22.585,544,22.48,22.585,22.4644
04/29/2022,22.44,657,22.68,22.68,22.44
04/28/2022,22.9073,617,22.69,22.9073,22.69
04/27/2022,22.5706,1977,22.6852,22.7,22.5706
04/26/2022,22.9749,N/A,22.9749,22.9749,22.9749
04/25/2022,22.9749,678,22.84,22.9749,22.84
04/22/2022,22.8455,67,22.8455,22.8455,22.8455
04/21/2022,23.1342,45,23.1342,23.1342,23.1342
04/20/2022,23.3756,852,23.575,23.58,23.37
04/19/2022,23.56,12504,23.57,23.57,23.56
04/18/2022,23.32,N/A,23.32,23.32,23.32
04/14/2022,23.32,323,23.55,23.55,23.32
04/13/2022,23.4403,551,23.36,23.4403,23.36
04/12/2022,23.3986,241,23.58,23.58,23.3986
04/11/2022,23.6,26384,23.63,23.72,23.46
04/08/2022,23.7289,880,23.81,23.82,23.7289
04/07/2022,24,N/A,24,24,24
04/06/2022,24,632,23.955,24,23.955
04/05/2022,24.1306,314,24.28,24.28,24.1306
04/04/2022,24.3691,578,24.36,24.3698,24.36
04/01/2022,24.2449,N/A,24.2449,24.2449,24.2449
03/31/2022,24.2449,N/A,24.2449,24.2449,24.2449
03/30/2022,24.2449,N/A,24.2449,24.2449,24.2449
03/29/2022,24.2449,N/A,24.2449,24.2449,24.2449
03/28/2022,24.2449,1203,24.06,24.2449,24.06
03/25/2022,23.75,N/A,23.75,23.75,23.75
03/24/2022,23.75,N/A,23.75,23.75,23.75
03/23/2022,23.75,N/A,23.75,23.75,23.75
03/22/2022,23.75,N/A,23.75,23.75,23.75
