date,price,dividend,earnings,cpi,10y_yield
1871.01,4.44,0.26,0.40,12.46,5.32
1871.02,4.50,0.26,0.40,12.84,5.32
1871.03,4.61,0.26,0.40,13.03,5.33
1871.04,4.74,0.26,0.40,12.56,5.33
1871.05,4.86,0.26,0.40,12.27,5.33
1871.06,4.82,0.26,0.40,12.08,5.34
1871.07,4.73,0.26,0.40,12.08,5.34
1871.08,4.79,0.26,0.40,11.89,5.34
1871.09,4.84,0.26,0.40,12.18,5.35
1871.1,4.59,0.26,0.40,12.37,5.35
1871.11,4.64,0.26,0.40,12.37,5.35
1871.12,4.74,0.26,0.40,12.65,5.36
1872.01,4.86,0.26,0.40,12.65,5.36
1872.02,4.88,0.27,0.41,12.65,5.38
1872.03,5.04,0.27,0.41,12.84,5.40
1872.04,5.18,0.27,0.41,13.13,5.42
1872.05,5.18,0.28,0.41,13.13,5.43
1872.06,5.13,0.28,0.42,13.03,5.45
1872.07,5.10,0.28,0.42,12.84,5.47
1872.08,5.04,0.29,0.42,12.94,5.49
1872.09,4.95,0.29,0.42,13.03,5.51
1872.1,4.97,0.29,0.43,12.75,5.53
1872.11,4.95,0.30,0.43,13.13,5.54
1872.12,5.07,0.30,0.43,12.94,5.56
1873.01,5.11,0.30,0.43,12.94,5.58
1873.02,5.15,0.31,0.44,13.23,5.57
1873.03,5.11,0.31,0.44,13.23,5.56
1873.04,5.04,0.31,0.44,13.23,5.55
1873.05,5.05,0.31,0.44,12.94,5.54
1873.06,4.98,0.32,0.45,12.56,5.53
1873.07,4.97,0.32,0.45,12.56,5.53
1873.08,4.97,0.32,0.45,12.56,5.52
1873.09,4.59,0.32,0.45,12.56,5.51
1873.1,4.19,0.33,0.46,12.27,5.50
1873.11,4.04,0.33,0.46,11.89,5.49
1873.12,4.42,0.33,0.46,12.18,5.48
1874.01,4.66,0.33,0.46,12.37,5.47
1874.02,4.80,0.33,0.46,12.37,5.44
1874.03,4.73,0.33,0.46,12.37,5.40
1874.04,4.60,0.33,0.46,12.18,5.37
1874.05,4.48,0.33,0.46,12.08,5.34
1874.06,4.46,0.33,0.46,11.80,5.30
1874.07,4.46,0.33,0.46,11.89,5.27
1874.08,4.47,0.33,0.46,11.80,5.24
1874.09,4.54,0.33,0.46,11.80,5.20
1874.1,4.53,0.33,0.46,11.61,5.17
1874.11,4.57,0.33,0.46,11.51,5.14
1874.12,4.54,0.33,0.46,11.51,5.10
1875.01,4.54,0.33,0.45,11.51,5.07
1875.02,4.53,0.33,0.44,11.51,5.03
1875.03,4.59,0.32,0.44,11.51,4.99
1875.04,4.65,0.32,0.43,11.61,4.95
1875.05,4.47,0.32,0.42,11.32,4.91
1875.06,4.38,0.32,0.41,11.13,4.87
1875.07,4.39,0.31,0.40,11.13,4.83
1875.08,4.41,0.31,0.39,11.23,4.79
1875.09,4.37,0.31,0.39,11.13,4.75
1875.1,4.30,0.31,0.38,11.13,4.71
1875.11,4.37,0.30,0.37,11.04,4.67
1875.12,4.37,0.30,0.36,10.94,4.63
1876.01,4.46,0.30,0.35,10.85,4.59
1876.02,4.52,0.30,0.35,10.85,4.58
1876.03,4.51,0.30,0.34,10.85,4.57
1876.04,4.34,0.30,0.33,10.75,4.56
1876.05,4.18,0.30,0.33,10.37,4.54
1876.06,4.15,0.30,0.32,10.09,4.53
1876.07,4.10,0.30,0.31,10.09,4.52
1876.08,3.93,0.30,0.31,10.18,4.51
1876.09,3.69,0.30,0.30,10.28,4.50
1876.1,3.67,0.30,0.29,10.47,4.49
1876.11,3.60,0.30,0.29,10.56,4.47
1876.12,3.58,0.30,0.28,10.75,4.46
1877.01,3.55,0.29,0.28,10.94,4.45
1877.02,3.34,0.28,0.28,10.66,4.44
1877.03,3.17,0.27,0.29,10.18,4.43
1877.04,2.94,0.26,0.29,10.47,4.42
1877.05,2.94,0.25,0.29,10.66,4.41
1877.06,2.73,0.25,0.29,10.09,4.40
1877.07,2.85,0.24,0.29,10.18,4.40
1877.08,3.05,0.23,0.29,9.80,4.39
1877.09,3.24,0.22,0.30,9.70,4.38
1877.1,3.31,0.21,0.30,9.70,4.37
1877.11,3.26,0.20,0.30,9.51,4.36
1877.12,3.25,0.19,0.30,9.51,4.35
1878.01,3.25,0.19,0.30,9.23,4.34
1878.02,3.18,0.19,0.30,9.13,4.33
1878.03,3.24,0.19,0.30,8.94,4.32
1878.04,3.33,0.19,0.30,8.85,4.31
1878.05,3.34,0.19,0.30,8.56,4.30
1878.06,3.41,0.19,0.31,8.37,4.29
1878.07,3.48,0.18,0.31,8.47,4.28
1878.08,3.45,0.18,0.31,8.56,4.27
1878.09,3.52,0.18,0.31,8.56,4.26
1878.1,3.48,0.18,0.31,8.47,4.25
1878.11,3.47,0.18,0.31,8.37,4.24
1878.12,3.45,0.18,0.31,8.18,4.23
1879.01,3.58,0.18,0.32,8.28,4.22
1879.02,3.71,0.18,0.32,8.37,4.20
1879.03,3.65,0.19,0.33,8.28,4.19
1879.04,3.77,0.19,0.33,8.18,4.17
1879.05,3.94,0.19,0.34,8.18,4.15
1879.06,3.96,0.19,0.35,8.09,4.14
1879.07,4.04,0.19,0.35,8.18,4.12
1879.08,4.07,0.19,0.36,8.18,4.10
1879.09,4.22,0.20,0.36,8.47,4.09
1879.1,4.68,0.20,0.37,8.94,4.07
1879.11,4.93,0.20,0.37,9.42,4.05
1879.12,4.92,0.20,0.38,9.70,4.04
1880.01,5.11,0.21,0.39,9.99,4.02
1880.02,5.20,0.21,0.40,9.99,3.99
1880.03,5.30,0.22,0.41,10.09,3.97
1880.04,5.18,0.22,0.42,9.70,3.94
1880.05,4.77,0.23,0.43,9.42,3.91
1880.06,4.79,0.23,0.44,9.23,3.89
1880.07,5.01,0.24,0.44,9.23,3.86
1880.08,5.19,0.24,0.45,9.23,3.83
1880.09,5.18,0.25,0.46,9.32,3.81
1880.1,5.33,0.25,0.47,9.32,3.78
1880.11,5.61,0.26,0.48,9.42,3.75
1880.12,5.84,0.26,0.49,9.51,3.73
