Date,Close/Last,Volume,Open,High,Low
08/19/2022,21.3714,20125,21.54,21.54,21.32
08/18/2022,21.5919,6227,21.55,21.62,21.5163
08/17/2022,21.4945,36188,21.46,21.61,21.337
08/16/2022,21.475,11368,21.58,21.58,21.38
08/15/2022,21.431,1706182,21.38,21.4791,21.3566
08/12/2022,21.4453,6265,21.29,21.48,21.29
08/11/2022,21.3655,5637,21.3899,21.4,21.3269
08/10/2022,21.26,36431,21.29,21.29,21.2008
08/09/2022,21.1256,3148,21.15,21.16,21.081
08/08/2022,21.0968,13915,21.1397,21.18,21.09
08/05/2022,21.0808,18711,21.05,21.12,21.04
08/04/2022,21,9039,21.13,21.14,21
08/03/2022,21.1827,14336,21.16,21.2,21.0501
08/02/2022,21.11,45845,21.05,21.17,21.037
08/01/2022,21.23,20386,21.095,21.23,21.095
07/29/2022,21.195,31599,21.17,21.22,21.078
07/28/2022,21.015,27698,21.01,21.04,20.85
07/27/2022,20.9874,15984,20.89,21,20.741
07/26/2022,20.72,12895,20.75,20.77,20.6
07/25/2022,20.7538,31321,20.69,20.77,20.69
07/22/2022,20.563,4410,20.74,20.76,20.563
07/21/2022,20.7399,44842,20.61,20.78,20.52
07/20/2022,20.7894,17551,20.71,20.8097,20.63
07/19/2022,20.6653,19583,20.44,20.6895,20.44
07/18/2022,20.3013,27964,20.54,20.56,20.3
07/15/2022,20.3621,4817,20.43,20.43,20.25
07/14/2022,20.0864,15915,20.09,20.12,19.73
07/13/2022,20.1567,12426,19.69,20.26,19.69
07/12/2022,20.0804,145399,20.1,20.22,20.056
07/11/2022,20.232,7243,20.25,20.34,20.175
07/08/2022,20.3335,2898,20.26,20.37,20.26
07/07/2022,20.2,22255,20.22,20.325,20.14
07/06/2022,19.9891,2169,19.9509,19.9891,19.88
07/05/2022,20.05,17184,19.76,20.05,19.669
07/01/2022,20.2,18795,19.954,20.2,19.78
06/30/2022,20.04,5245,20.02,20.045,19.86
06/29/2022,20.03,36467,20.1,20.23,20.03
06/28/2022,20.1731,46358,20.64,20.64,19.95
06/27/2022,20.4031,9824,20.3,20.466,20.3
06/24/2022,20.19,9664,20.1,20.27,20.063
06/23/2022,20.0156,11256,20.0649,20.09,19.838
06/22/2022,20.005,1685,20.015,20.06,20.005
06/21/2022,20.25,34838,20.01,20.25,20.01
06/17/2022,19.7443,10479,19.8,19.91,19.7392
06/16/2022,19.796,3311,20.09,20.09,19.796
06/15/2022,20.3884,2687,20.42,20.42,20.23
06/14/2022,20.1509,4117,20.24,20.375,20
06/13/2022,20.2748,10835,20.29,20.54,20.2748
06/10/2022,21.1548,13428,21.21,21.3,21.06
06/09/2022,21.604,12833,22.04,22.04,21.604
06/08/2022,22.0684,5158,22.3,22.3,22.03
06/07/2022,22.3052,3410,21.965,22.3052,21.94
06/06/2022,22.125,23766,21.96,22.28,21.96
06/03/2022,21.9533,8977,22.11,22.11,21.89
06/02/2022,22.15,14135,22.02,22.17,21.78
06/01/2022,21.99,19485,21.9,22.01,21.7058
05/31/2022,21.8574,15097,22.07,22.07,21.78
05/27/2022,22.0053,19040,21.6,22.0053,21.6
05/26/2022,21.45,10265,21.26,21.67,21.26
05/25/2022,21.2342,8760,21.04,21.3,21.04
05/24/2022,20.9819,11395,21.03,21.07,20.74
05/23/2022,21.17,21213,20.97,21.35,20.97
05/20/2022,20.8839,9416,20.98,20.98,20.555
05/19/2022,20.9412,9224,20.77,21.045,20.77
05/18/2022,20.9129,7109,21.135,21.135,20.91
05/17/2022,21.6153,9965,21.32,21.64,21.32
05/16/2022,21.1582,5933,21.13,21.292,21.08
05/13/2022,21.1007,20466,20.8,21.22,20.8
05/12/2022,20.5825,32554,20.6099,20.61,20.2305
05/11/2022,20.6402,6728,20.91,21.2026,20.6402
05/10/2022,20.8602,25796,20.96,21.23,20.61
05/09/2022,20.92,1177,21.14,21.14,20.8397
05/06/2022,21.7145,9271,21.38,21.73,21.37
05/05/2022,21.7848,2415,22.24,22.24,21.615
05/04/2022,22.4542,6594,21.79,22.4699,21.79
