Date,Close/Last,Volume,Open,High,Low
08/19/2022,57.79,3008498,57.66,57.85,57.65
08/18/2022,57.83,2376645,57.76,57.85,57.68
08/17/2022,57.71,2691167,57.65,57.79,57.56
08/16/2022,57.83,2866055,57.73,57.89,57.65
08/15/2022,57.77,2430805,57.53,57.77,57.5
08/12/2022,57.62,8705529,57.4,57.62,57.32
08/11/2022,57.3,3273869,57.51,57.59,57.24
08/10/2022,57.35,5960330,57.34,57.42,57.22
08/09/2022,57.12,2136032,56.99,57.18,56.98
08/08/2022,56.99,2375559,56.93,57.0957,56.855
08/05/2022,56.81,2825173,56.48,56.83,56.425
08/04/2022,56.69,2555542,56.64,56.7941,56.56
08/03/2022,56.67,3245481,56.58,56.8,56.46
08/02/2022,56.49,2482467,56.54,56.71,56.44
08/01/2022,56.73,2647985,56.72,56.82,56.5
07/29/2022,57.43,4366432,57.28,57.49,57.23
07/28/2022,57.33,3044199,56.83,57.39,56.69
07/27/2022,56.74,2795155,56.65,56.85,56.4223
07/26/2022,56.5,2247939,56.46,56.57,56.3011
07/25/2022,56.51,1953068,56.29,56.57,56.2393
07/22/2022,56.2,3577956,56.13,56.2978,56.02
07/21/2022,56.05,2081752,55.78,56.05,55.63
07/20/2022,55.77,2338602,55.92,55.967,55.5868
07/19/2022,55.88,2361367,55.52,55.98,55.47
07/18/2022,55.19,2782884,56,56.005,55.07
07/15/2022,55.53,2629481,55.22,55.635,55.22
07/14/2022,54.89,2471436,54.67,54.92,54.2
07/13/2022,54.89,3088929,54.8,55.34,54.66
07/12/2022,55.23,2123197,55.5,55.69,55.02
07/11/2022,55.62,1717597,55.46,55.7799,55.44
07/08/2022,55.53,2530749,55.64,55.84,55.47
07/07/2022,55.64,2060874,55.75,55.87,55.45
07/06/2022,55.45,1804630,55.25,55.75,55.06
07/05/2022,55.11,2796309,54.91,55.16,54.3
07/01/2022,55.5,1809762,54.77,55.58,54.6801
06/30/2022,55.45,2568047,55.09,55.8,54.901
06/29/2022,55.53,2061421,55.55,55.7027,55.3
