Date,Close/Last,Volume,Open,High,Low
08/19/2022,20.88,107456,20.8,20.9624,20.71
08/18/2022,21,65371,20.97,21.0692,20.85
08/17/2022,20.97,116397,21.08,21.16,20.82
08/16/2022,21.2,116400,21.2,21.29,20.9901
08/15/2022,21.24,127788,20.99,21.26,20.99
08/12/2022,21.08,92932,20.88,21.08,20.7066
08/11/2022,20.67,161760,20.96,21.0481,20.61
08/10/2022,20.76,111711,20.47,20.78,20.47
08/09/2022,20.23,87401,20.36,20.36,20.11
08/08/2022,20.46,140364,20.59,20.78,20.37
08/05/2022,20.51,162730,20.51,20.6486,20.3133
08/04/2022,20.69,174528,20.6,20.69,20.45
08/03/2022,20.6,245059,20.12,20.62,20.12
08/02/2022,20.08,83364,20.07,20.31,19.965
08/01/2022,20.14,286074,20.08,20.3183,19.98
07/29/2022,20.11,213752,19.88,20.18,19.82
07/28/2022,19.78,294076,19.51,19.809,19.36
07/27/2022,19.63,252774,19.59,19.6999,19.5611
07/26/2022,19.5,165495,19.49,19.57,19.43
07/25/2022,19.6,135838,19.6,19.65,19.53
07/22/2022,19.64,108060,19.74,19.74,19.56
07/21/2022,19.65,181482,19.63,19.67,19.53
07/20/2022,19.62,81769,19.6,19.64,19.54
07/19/2022,19.67,140460,19.77,19.77,19.59
07/18/2022,19.52,141030,19.53,19.77,19.51
07/15/2022,19.56,118797,19.67,19.7,19.51
07/14/2022,19.51,113993,19.39,19.54,19.07
07/13/2022,19.48,57572,19.15,19.585,19.07
07/12/2022,19.49,127281,19.62,19.87,19.355
07/11/2022,19.66,121381,20.05,20.05,19.62
07/08/2022,20.1,69534,19.91,20.19,19.8
07/07/2022,20.05,128029,19.6,20.1,19.6
07/06/2022,19.63,106882,19.46,19.79,19.46
07/05/2022,19.5,212548,19.05,19.55,18.9
07/01/2022,19.22,181322,19.14,19.26,18.9303
06/30/2022,19.2,174332,19.38,19.38,18.9301
06/29/2022,19.41,102650,19.49,19.49,19.2304
06/28/2022,19.41,379975,20,20.1383,19.37
06/27/2022,19.94,193472,20.12,20.155,19.91
06/24/2022,20.02,145843,20.02,20.05,19.9705
06/23/2022,19.92,158018,19.94,19.99,19.86
06/22/2022,20.03,118242,19.85,20.07,19.85
06/21/2022,20,127935,19.93,20.0588,19.93
06/17/2022,19.9,223393,19.94,19.9599,19.8
06/16/2022,19.82,366857,20.02,20.02,19.76
06/15/2022,20.34,189742,20.23,20.59,20.1
06/14/2022,20.17,385542,20.21,20.28,20.072
06/13/2022,20.18,367082,20.26,20.47,20.15
06/10/2022,20.84,287076,21.35,21.35,20.83
06/09/2022,21.53,174811,22,22.15,21.51
06/08/2022,22.05,153561,22.25,22.34,22.04
06/07/2022,22.21,179523,22,22.27,21.86
06/06/2022,22.09,344439,22.17,22.41,22
06/03/2022,22.04,219477,22.41,22.41,21.96
06/02/2022,22.53,131181,22.37,22.56,22.37
06/01/2022,22.4,123095,22.48,22.5063,22.38
05/31/2022,22.44,210789,22.35,22.49,22.35
05/27/2022,22.43,154630,22.42,22.45,22.3617
05/26/2022,22.28,281800,22.23,22.3422,22.17
05/25/2022,22.17,128010,22.02,22.19,22.01
05/24/2022,22.21,193865,22.2,22.268,22.13
05/23/2022,22.3,200851,22.3,22.364,22.2301
05/20/2022,22.26,261228,22.35,22.3688,22.09
05/19/2022,22.29,128937,22.23,22.34,22.23
05/18/2022,22.29,301738,22.2,22.3328,22.15
05/17/2022,22.3,135600,22.31,22.34,22.2893
05/16/2022,22.28,193248,22.37,22.37,22.25
05/13/2022,22.35,168678,22.46,22.488,22.3
05/12/2022,22.3,262088,22.1,22.3488,22.1
05/11/2022,22.34,232191,22.29,22.3616,22.25
05/10/2022,22.32,248950,22.25,22.41,22.25
05/09/2022,22.3,340968,22.11,22.4,22.1
05/06/2022,22.38,362142,22.48,22.4832,22.34
05/05/2022,22.54,172767,22.76,22.76,22.45
