Date,Close/Last,Volume,Open,High,Low
08/19/2022,21.35,13120,21.366,21.376,21.242
08/18/2022,21.42,2408,21.38,21.5,21.34
08/17/2022,21.43,7538,21.32,21.48,21.32
08/16/2022,21.49,4864,21.41,21.5,21.41
08/15/2022,21.5,31245,21.35,21.615,21.35
08/12/2022,21.5,34369,21.49,21.5,21.44
08/11/2022,21.48,43543,21.45,21.5499,21.348
08/10/2022,21.49,76293,21.5,21.5,21.3201
08/09/2022,21.425,2563,21.36,21.47,21.36
08/08/2022,21.47,13624,21.47,21.47,21.342
08/05/2022,21.35,5769,21.383,21.478,21.35
08/04/2022,21.38,10489,21.448,21.474,21.35
08/03/2022,21.36,13519,21.3,21.46,21.3
08/02/2022,21.32,26899,21.37,21.42,21.32
08/01/2022,21.4,7623,21.315,21.4,21.315
07/29/2022,21.32,68569,21.338,21.4,21.32
07/28/2022,21.37,17251,21.17,21.37,21.1401
07/27/2022,21.27,17606,21.15,21.27,21.05
07/26/2022,21.0799,6042,21.105,21.14,21.03
07/25/2022,21.19,16438,21.05,21.21,21.05
07/22/2022,21.17,9752,21.18,21.23,21.035
07/21/2022,21.11,32642,21.07,21.17,21.0605
07/20/2022,21.04,7223,21.01,21.08,21.01
07/19/2022,21.06,23580,20.86,21.06,20.85
07/18/2022,20.7533,21202,20.89,20.9646,20.7533
07/15/2022,20.78,21560,20.2,20.86,20
07/14/2022,20.81,43660,20.82,20.83,20.7
07/13/2022,20.7616,12757,20.82,20.82,20.64
07/12/2022,20.71,18795,20.7,20.81,20.65
07/11/2022,20.759,13852,20.71,20.77,20.65
07/08/2022,20.8,7078,20.79,20.81,20.72
07/07/2022,20.72,30521,20.758,20.79,20.614
07/06/2022,20.75,6931,20.7,20.75,20.6
07/05/2022,20.62,36759,20.597,20.73,20.516
07/01/2022,20.71,22352,20.64,20.71,20.5796
06/30/2022,20.61,36781,20.6,20.65,20.5
06/29/2022,20.57,6528,20.54,20.65,20.525
06/28/2022,20.63,39765,20.674,20.69,20.58
06/27/2022,20.62,23305,20.585,20.69,20.585
06/24/2022,20.64,36537,20.59,20.64,20.55
06/23/2022,20.54,39972,20.54,20.54,20.3401
06/22/2022,20.38,28706,20.41,20.46,20.38
06/21/2022,20.35,169960,20.3999,20.45,20.3301
06/17/2022,20.27,59308,20.265,20.32,20.0693
06/16/2022,20.18,84474,20.38,20.38,20.02
06/15/2022,20.8,29119,20.6,20.9099,20.5
06/14/2022,20.54,137011,20.58,20.69,20.36
06/13/2022,20.51,81182,20.6,20.8,20.5
06/10/2022,21.1,17153,21.17,21.22,21.08
06/09/2022,21.26,77972,21.353,21.43,21.26
06/08/2022,21.32,14751,21.3575,21.4499,21.29
06/07/2022,21.4,26047,21.28,21.4,21.28
06/06/2022,21.31,22515,21.31,21.39,21.31
06/03/2022,21.29,56436,21.35,21.37,21.28
06/02/2022,21.38,49322,21.26,21.38,21.178
06/01/2022,21.27,88317,21.305,21.36,21.24
05/31/2022,21.35,322445,21.3,21.35,21.23
05/27/2022,21.26,99675,21.21,21.3,21.21
05/26/2022,21.14,76742,21.01,21.2,21.01
05/25/2022,20.98,28183,20.82,21.03,20.82
05/24/2022,20.92,16128,20.84,20.93,20.711
05/23/2022,20.95,60650,20.84,20.96,20.805
05/20/2022,20.816,134975,20.97,21.11,20.5001
05/19/2022,20.8853,37175,20.85,21.17,20.8
05/18/2022,20.993,94025,21.55,21.588,20.98
05/17/2022,21.94,108128,21.79,21.975,21.591
05/16/2022,21.45,43615,21.38,21.59,21.37
05/13/2022,21.59,207542,21.27,21.64,21.19
05/12/2022,20.9915,67959,20.82,21.2643,20.69
05/11/2022,21.079,33516,21.46,21.63,21.078
05/10/2022,21.49,62040,21.76,21.77,21.21
05/09/2022,21.48,63660,21.93,21.93,21.33
05/06/2022,22.1106,22792,22.11,22.1785,21.7701
05/05/2022,22.1558,18274,22.79,22.79,22.0135
05/04/2022,22.89,26619,22.42,22.92,22.2
05/03/2022,22.3372,42779,22.27,22.41,22.25
05/02/2022,22.14,28531,22.06,22.17,21.785
04/29/2022,22.02,33964,22.68,22.68,22.02
04/28/2022,22.84,29465,22.62,22.87,22.38
04/27/2022,22.27,16143,22.38,22.5484,22.27
04/26/2022,22.35,16665,22.76,22.76,22.33
04/25/2022,22.8,15251,22.51,22.825,22.48
04/22/2022,22.7175,16961,23.065,23.0999,22.7175
04/21/2022,23.12,27445,23.5,23.5,23.04
04/20/2022,23.36,11922,23.4,23.4,23.284
04/19/2022,23.26,13426,23.2,23.36,23.2
04/18/2022,23.15,22247,23.12,23.15,23.03
04/14/2022,23.08,14991,23.3757,23.3757,23.08
04/13/2022,23.39,11356,23.2,23.39,23.115
04/12/2022,23.22,12081,23.28,23.32,23.1406
04/11/2022,23.21,20833,23.35,23.35,23.1772
04/08/2022,23.35,21718,23.305,23.35,23.28
04/07/2022,23.25,23452,23.34,23.34,23.18
04/06/2022,23.27,12900,23.27,23.27,23.1001
04/05/2022,23.31,21552,23.37,23.37,23.1601
04/04/2022,23.37,40042,23.32,23.38,23.31
04/01/2022,23.26,16657,23.23,23.328,23.21
03/31/2022,23.26,4186,23.31,23.34,23.176
03/30/2022,23.32,6436,23.25,23.32,23.2
03/29/2022,23.27,22657,23.33,23.33,23.17
03/28/2022,23.22,36017,23.165,23.22,23.05
03/25/2022,23.14,33293,23.16,23.16,23.02
03/24/2022,23.03,32539,23,23.11,22.98
03/23/2022,22.97,10401,22.98,23.09,22.97
03/22/2022,23.07,16960,23.0707,23.2184,23.045
03/21/2022,22.95,237072,23,23.02,22.9
03/18/2022,22.97,18492,22.75,23.05,22.712
03/17/2022,22.8816,29570,22.61,22.91,22.61
03/16/2022,22.66,14494,22.07,22.66,22.07
03/15/2022,22.18,316154,21.97,22.261,21.91
03/14/2022,21.89,114006,22,22.14,21.69
03/11/2022,21.91,385758,22.25,22.2799,21.91
03/10/2022,22.1,18932,22.143,22.17,21.98
03/09/2022,22.14,12769,22,22.2688,22
03/08/2022,21.72,9133,21.92,22.0162,21.711
03/07/2022,21.84,12626,22.2,22.2,21.84
03/04/2022,22.3,24996,22.19,22.31,22.11
03/03/2022,22.34,13228,22.48,22.504,22.304
03/02/2022,22.37,41504,22.27,22.46,22.22
03/01/2022,22.15,30033,22.15,22.47,22.08
02/28/2022,22.32,36123,22.1,22.385,22.1
02/25/2022,22.43,62105,22.19,22.43,22.19
02/24/2022,22.0319,149336,21.49,22.0319,21.17
02/23/2022,21.8349,238367,22.16,22.16,21.8
02/22/2022,22.1299,130276,22.13,22.32,22
02/18/2022,22.18,12128,22.32,22.375,22.13
02/17/2022,22.379,37670,22.62,22.64,22.3735
02/16/2022,22.69,13331,22.51,22.79,22.51
02/15/2022,22.66,482419,22.46,22.6749,22.46
02/14/2022,22.34,1561957,22.34,22.43,22.2
02/11/2022,22.37,79066,22.58,22.7199,22.32
02/10/2022,22.67,62294,22.6601,22.8192,22.62
02/09/2022,22.77,776255,22.695,22.84,22.66
02/08/2022,22.65,74005,22.6,22.72,22.46
02/07/2022,22.6,29392,22.6,22.69,22.5401
02/04/2022,22.6,44908,22.5,22.69,22.42
02/03/2022,22.44,63512,22.5547,22.6799,22.4
02/02/2022,22.59,33090,22.69,22.7465,22.59
02/01/2022,22.65,34937,22.59,22.66,22.495
01/31/2022,22.49,10014,22.3,22.5,22.3
01/28/2022,22.3,25541,21.9,22.3,21.7921
01/27/2022,21.92,15398,22.16,22.165,21.8
01/26/2022,21.98,15193,22.125,22.25,21.797
01/25/2022,21.98,71735,21.92,22.1091,21.71
01/24/2022,22.1,81694,21.93,22.1,21.386
01/21/2022,22.02,30675,22.29,22.438,22.02
01/20/2022,22.34,24596,22.72,22.97,22.34
01/19/2022,22.69,7175,22.9256,22.9256,22.61
01/18/2022,22.87,43099,23.07,23.07,22.8
01/14/2022,23.12,10149,23,23.12,22.95
01/13/2022,23,32910,23.17,23.23,23
01/12/2022,23.15,137152,23.2,23.2399,23.06
01/11/2022,23.17,11673,23.07,23.17,22.936
01/10/2022,23.035,41755,23,23.07,22.78
01/07/2022,23.09,93233,22.961,23.1,22.961
01/06/2022,23.08,23131,23.0999,23.0999,23.01
01/05/2022,23.08,36773,23.12,23.22,23.05
01/04/2022,23.14,66310,23.24,23.24,23.13
01/03/2022,23.22,202782,23.18,23.31,23.11
